INFO:train:3folds_5_128__mixup_5_2_ val_acc: [1.1506012950172617, 0.7127054362321171]
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.1361 val_acc: 0.7361
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.1684 val_acc: 0.7198
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 0.9443 val_acc: 0.7731
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 0.9599 val_acc: 0.7645
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0539 val_acc: 0.7432
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0613 val_acc: 0.7368
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0230 val_acc: 0.7661
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0304 val_acc: 0.7338
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0762 val_acc: 0.7367
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128__mixup_5_2_ val_loss: 1.0470 val_acc: 0.7575
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.1037 val_acc: 0.7403
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.3296 val_acc: 0.6275
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 0.8249 val_acc: 0.7836
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 0.8806 val_acc: 0.7666
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.0445 val_acc: 0.7547
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 0.9665 val_acc: 0.7474
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.0696 val_acc: 0.7249
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.1612 val_acc: 0.7349
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.0213 val_acc: 0.7410
INFO:train:mel_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.0105 val_acc: 0.7564
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.3836 val_acc: 0.6953
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.2363 val_acc: 0.6684
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.1195 val_acc: 0.7195
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.1369 val_acc: 0.7119
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.4315 val_acc: 0.7053
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.2378 val_acc: 0.6575
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.2106 val_acc: 0.7175
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.3860 val_acc: 0.6257
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.2522 val_acc: 0.6667
INFO:train:mfcc_vgg11_256x64_dropmore_10folds_5_128_ val_loss: 1.1964 val_acc: 0.6902
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9092 val_acc: 0.7738
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 14.3272 val_acc: 0.1111
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 14.3272 val_acc: 0.1111
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 1.2530 val_acc: 0.6597
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 1.0270 val_acc: 0.7215
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9446 val_acc: 0.7623
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9985 val_acc: 0.7471
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.7838 val_acc: 0.7983
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9720 val_acc: 0.7277
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9111 val_acc: 0.7537
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9016 val_acc: 0.7706
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.8946 val_acc: 0.7735
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9503 val_acc: 0.7603
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9833 val_acc: 0.7665
INFO:train:_mel_mfcc_1d_10folds_5_128_128 val_loss: 0.9156 val_acc: 0.7585
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 9.3138 val_acc: 0.1500
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 7.2446 val_acc: 0.0000
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 9.3138 val_acc: 0.1500
INFO:train:_mel_mfcc_1d_2folds_5_128_128_debug val_loss: 7.2446 val_acc: 0.0000
